uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
BA,PNEUMONIA,VIA_PUBLICA,"< 9",F,2
BA,PNEUMONIA,VIA_PUBLICA,"< 9",M,1
BA,SEPTICEMIA,DOMICILIO,"< 9",F,1
BA,SEPTICEMIA,DOMICILIO,"< 9",M,1
BA,SEPTICEMIA,HOSPITAL,"< 9",F,253
BA,SEPTICEMIA,HOSPITAL,"< 9",I,2
BA,SEPTICEMIA,HOSPITAL,"< 9",M,290
BA,SEPTICEMIA,IGNORADO,"< 9",F,1
BA,SEPTICEMIA,IGNORADO,"< 9",M,1
BA,SEPTICEMIA,OUTRO,"< 9",M,1
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,6
BA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,7
BA,SRAG,HOSPITAL,"< 9",F,4
BA,SRAG,HOSPITAL,"< 9",M,8
BA,SRAG,OUTROS_SERVICOS_SAUDE,"< 9",M,4
BA,SRAG,VIA_PUBLICA,"< 9",M,1
CE,OUTRAS,DOMICILIO,"< 9",F,24
CE,OUTRAS,DOMICILIO,"< 9",M,22
CE,OUTRAS,HOSPITAL,"< 9",F,542
CE,OUTRAS,HOSPITAL,"< 9",I,14
CE,OUTRAS,HOSPITAL,"< 9",M,678
CE,OUTRAS,IGNORADO,"< 9",F,8
CE,OUTRAS,IGNORADO,"< 9",M,4
CE,OUTRAS,OUTRO,"< 9",F,15
CE,OUTRAS,OUTRO,"< 9",M,20
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,28
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",I,4
CE,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,27
CE,OUTRAS,POSTO_SAUDE,"< 9",M,1
CE,OUTRAS,VIA_PUBLICA,"< 9",F,3
CE,OUTRAS,VIA_PUBLICA,"< 9",M,5
CE,INDETERMINADA,DOMICILIO,"< 9",I,1
CE,INDETERMINADA,HOSPITAL,"< 9",F,2
CE,INDETERMINADA,HOSPITAL,"< 9",I,1
CE,INDETERMINADA,HOSPITAL,"< 9",M,3
CE,INDETERMINADA,IGNORADO,"< 9",F,1
CE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,4
CE,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,39
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
CE,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,71
CE,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
CE,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
CE,PNEUMONIA,DOMICILIO,"< 9",F,2
CE,PNEUMONIA,DOMICILIO,"< 9",M,2
CE,PNEUMONIA,HOSPITAL,"< 9",F,60
CE,PNEUMONIA,HOSPITAL,"< 9",M,80
CE,PNEUMONIA,IGNORADO,"< 9",F,1
CE,PNEUMONIA,OUTRO,"< 9",F,1
CE,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
CE,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,4
CE,SEPTICEMIA,DOMICILIO,"< 9",F,1
CE,SEPTICEMIA,HOSPITAL,"< 9",F,138
CE,SEPTICEMIA,HOSPITAL,"< 9",I,1
CE,SEPTICEMIA,HOSPITAL,"< 9",M,153
CE,SEPTICEMIA,IGNORADO,"< 9",M,1
CE,SEPTICEMIA,OUTRO,"< 9",F,1
CE,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,5
CE,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,9
CE,SEPTICEMIA,VIA_PUBLICA,"< 9",M,1
CE,SRAG,HOSPITAL,"< 9",F,3
CE,SRAG,HOSPITAL,"< 9",M,4
DF,OUTRAS,DOMICILIO,"< 9",F,3
DF,OUTRAS,DOMICILIO,"< 9",M,3
DF,OUTRAS,HOSPITAL,"< 9",F,126
DF,OUTRAS,HOSPITAL,"< 9",I,2
DF,OUTRAS,HOSPITAL,"< 9",M,171
DF,OUTRAS,IGNORADO,"< 9",M,1
DF,OUTRAS,OUTRO,"< 9",F,4
DF,OUTRAS,OUTRO,"< 9",M,3
DF,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,3
DF,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,4
DF,OUTRAS,VIA_PUBLICA,"< 9",M,3
DF,INDETERMINADA,HOSPITAL,"< 9",F,5
DF,INDETERMINADA,HOSPITAL,"< 9",M,5
DF,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,26
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
DF,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,44
DF,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
DF,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
DF,PNEUMONIA,HOSPITAL,"< 9",F,28
DF,PNEUMONIA,HOSPITAL,"< 9",M,25
DF,PNEUMONIA,OUTRO,"< 9",F,3
DF,PNEUMONIA,OUTRO,"< 9",M,1
DF,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
DF,SEPTICEMIA,HOSPITAL,"< 9",F,63
DF,SEPTICEMIA,HOSPITAL,"< 9",M,103
DF,SEPTICEMIA,OUTRO,"< 9",F,1
DF,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
DF,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
DF,SRAG,HOSPITAL,"< 9",F,7
DF,SRAG,HOSPITAL,"< 9",M,9
ES,OUTRAS,DOMICILIO,"< 9",F,8
ES,OUTRAS,DOMICILIO,"< 9",M,13
ES,OUTRAS,HOSPITAL,"< 9",F,148
ES,OUTRAS,HOSPITAL,"< 9",I,1
ES,OUTRAS,HOSPITAL,"< 9",M,184
ES,OUTRAS,OUTRO,"< 9",F,2
ES,OUTRAS,OUTRO,"< 9",M,2
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,5
ES,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,2
ES,INDETERMINADA,DOMICILIO,"< 9",M,1
ES,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,2
ES,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,19
ES,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,12
ES,PNEUMONIA,DOMICILIO,"< 9",F,4
ES,PNEUMONIA,DOMICILIO,"< 9",M,1
ES,PNEUMONIA,HOSPITAL,"< 9",F,45
ES,PNEUMONIA,HOSPITAL,"< 9",M,49
ES,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
ES,SEPTICEMIA,DOMICILIO,"< 9",M,1
ES,SEPTICEMIA,HOSPITAL,"< 9",F,74
ES,SEPTICEMIA,HOSPITAL,"< 9",M,118
ES,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
ES,SRAG,DOMICILIO,"< 9",F,1
ES,SRAG,HOSPITAL,"< 9",F,2
ES,SRAG,HOSPITAL,"< 9",M,2
GO,OUTRAS,AMBULANCIA,"< 9",F,1
GO,OUTRAS,DOMICILIO,"< 9",F,12
GO,OUTRAS,DOMICILIO,"< 9",M,18
GO,OUTRAS,HOSPITAL,"< 9",F,196
GO,OUTRAS,HOSPITAL,"< 9",I,4
GO,OUTRAS,HOSPITAL,"< 9",M,255
GO,OUTRAS,IGNORADO,"< 9",F,3
GO,OUTRAS,IGNORADO,"< 9",M,2
GO,OUTRAS,OUTRO,"< 9",F,4
GO,OUTRAS,OUTRO,"< 9",I,1
GO,OUTRAS,OUTRO,"< 9",M,2
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,11
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",I,1
GO,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,24
GO,OUTRAS,VIA_PUBLICA,"< 9",F,2
GO,OUTRAS,VIA_PUBLICA,"< 9",M,1
GO,INDETERMINADA,DOMICILIO,"< 9",F,1
GO,INDETERMINADA,DOMICILIO,"< 9",M,1
GO,INDETERMINADA,HOSPITAL,"< 9",F,1
GO,INDETERMINADA,HOSPITAL,"< 9",M,1
GO,INDETERMINADA,OUTRO,"< 9",M,1
GO,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
GO,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,2
GO,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,56
GO,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,96
GO,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,6
GO,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,5
GO,PNEUMONIA,AMBULANCIA,"< 9",F,1
GO,PNEUMONIA,DOMICILIO,"< 9",F,3
GO,PNEUMONIA,HOSPITAL,"< 9",F,47
GO,PNEUMONIA,HOSPITAL,"< 9",M,36
GO,PNEUMONIA,IGNORADO,"< 9",F,1
GO,PNEUMONIA,IGNORADO,"< 9",M,2
GO,PNEUMONIA,OUTRO,"< 9",F,1
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,6
GO,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
GO,SEPTICEMIA,DOMICILIO,"< 9",M,1
GO,SEPTICEMIA,HOSPITAL,"< 9",F,102
GO,SEPTICEMIA,HOSPITAL,"< 9",M,120
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,4
GO,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,9
GO,SRAG,HOSPITAL,"< 9",F,3
GO,SRAG,HOSPITAL,"< 9",M,3
MA,OUTRAS,DOMICILIO,"< 9",F,16
MA,OUTRAS,DOMICILIO,"< 9",M,24
MA,OUTRAS,HOSPITAL,"< 9",F,227
MA,OUTRAS,HOSPITAL,"< 9",I,3
MA,OUTRAS,HOSPITAL,"< 9",M,293
MA,OUTRAS,IGNORADO,"< 9",F,1
MA,OUTRAS,IGNORADO,"< 9",M,3
MA,OUTRAS,OUTRO,"< 9",F,10
MA,OUTRAS,OUTRO,"< 9",M,8
MA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,7
MA,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,4
MA,OUTRAS,VIA_PUBLICA,"< 9",F,3
MA,OUTRAS,VIA_PUBLICA,"< 9",M,4
MA,INDETERMINADA,DOMICILIO,"< 9",M,1
MA,INDETERMINADA,HOSPITAL,"< 9",F,6
MA,INDETERMINADA,HOSPITAL,"< 9",M,8
MA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,2
MA,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,5
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,43
MA,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,44
MA,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
MA,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,2
MA,PNEUMONIA,AMBULANCIA,"< 9",F,1
MA,PNEUMONIA,DOMICILIO,"< 9",F,2
MA,PNEUMONIA,DOMICILIO,"< 9",M,6
MA,PNEUMONIA,HOSPITAL,"< 9",F,29
MA,PNEUMONIA,HOSPITAL,"< 9",I,1
MA,PNEUMONIA,HOSPITAL,"< 9",M,47
MA,PNEUMONIA,OUTRO,"< 9",M,2
MA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MA,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
MA,PNEUMONIA,VIA_PUBLICA,"< 9",F,2
MA,PNEUMONIA,VIA_PUBLICA,"< 9",M,1
MA,SEPTICEMIA,HOSPITAL,"< 9",F,68
MA,SEPTICEMIA,HOSPITAL,"< 9",M,96
MA,SEPTICEMIA,OUTRO,"< 9",F,3
MA,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
MA,SRAG,HOSPITAL,"< 9",F,1
MA,SRAG,HOSPITAL,"< 9",M,1
MG,OUTRAS,DOMICILIO,"< 9",F,41
MG,OUTRAS,DOMICILIO,"< 9",M,54
MG,OUTRAS,HOSPITAL,"< 9",F,637
MG,OUTRAS,HOSPITAL,"< 9",I,11
MG,OUTRAS,HOSPITAL,"< 9",M,780
MG,OUTRAS,IGNORADO,"< 9",F,23
MG,OUTRAS,IGNORADO,"< 9",M,31
MG,OUTRAS,OUTRO,"< 9",F,6
MG,OUTRAS,OUTRO,"< 9",M,16
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,19
MG,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,29
MG,OUTRAS,VIA_PUBLICA,"< 9",F,2
MG,OUTRAS,VIA_PUBLICA,"< 9",M,9
MG,INDETERMINADA,DOMICILIO,"< 9",F,8
MG,INDETERMINADA,DOMICILIO,"< 9",M,9
MG,INDETERMINADA,HOSPITAL,"< 9",F,10
MG,INDETERMINADA,HOSPITAL,"< 9",I,1
MG,INDETERMINADA,HOSPITAL,"< 9",M,14
MG,INDETERMINADA,IGNORADO,"< 9",M,1
MG,INDETERMINADA,OUTRO,"< 9",M,1
MG,INDETERMINADA,OUTROS_SERVICOS_SAUDE,"< 9",F,4
MG,INDETERMINADA,VIA_PUBLICA,"< 9",F,1
MG,INDETERMINADA,VIA_PUBLICA,"< 9",M,1
MG,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,3
MG,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,11
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,160
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",I,1
MG,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,196
MG,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",F,8
MG,INSUFICIENCIA_RESPIRATORIA,IGNORADO,"< 9",M,4
MG,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,1
MG,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,2
MG,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,5
MG,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",F,1
MG,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,2
MG,PNEUMONIA,DOMICILIO,"< 9",F,2
MG,PNEUMONIA,DOMICILIO,"< 9",M,4
MG,PNEUMONIA,HOSPITAL,"< 9",F,80
MG,PNEUMONIA,HOSPITAL,"< 9",M,104
MG,PNEUMONIA,IGNORADO,"< 9",F,3
MG,PNEUMONIA,IGNORADO,"< 9",M,1
MG,PNEUMONIA,OUTRO,"< 9",F,1
MG,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
MG,PNEUMONIA,OUTROS_SERVICOS_SAUDE,"< 9",M,7
MG,PNEUMONIA,VIA_PUBLICA,"< 9",M,2
MG,SEPTICEMIA,DOMICILIO,"< 9",M,2
MG,SEPTICEMIA,HOSPITAL,"< 9",F,342
MG,SEPTICEMIA,HOSPITAL,"< 9",M,377
MG,SEPTICEMIA,IGNORADO,"< 9",F,8
MG,SEPTICEMIA,IGNORADO,"< 9",M,8
MG,SEPTICEMIA,OUTRO,"< 9",F,1
MG,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",F,2
MG,SEPTICEMIA,OUTROS_SERVICOS_SAUDE,"< 9",M,3
MG,SEPTICEMIA,VIA_PUBLICA,"< 9",F,1
MG,SEPTICEMIA,VIA_PUBLICA,"< 9",M,2
MG,SRAG,HOSPITAL,"< 9",F,5
MG,SRAG,HOSPITAL,"< 9",M,13
MS,OUTRAS,DOMICILIO,"< 9",F,15
MS,OUTRAS,DOMICILIO,"< 9",M,16
MS,OUTRAS,HOSPITAL,"< 9",F,249
MS,OUTRAS,HOSPITAL,"< 9",M,275
MS,OUTRAS,IGNORADO,"< 9",F,1
MS,OUTRAS,OUTRO,"< 9",F,1
MS,OUTRAS,OUTRO,"< 9",M,4
MS,OUTRAS,POSTO_SAUDE,"< 9",F,1
MS,OUTRAS,POSTO_SAUDE,"< 9",M,1
MS,OUTRAS,VIA_PUBLICA,"< 9",F,3
MS,OUTRAS,VIA_PUBLICA,"< 9",M,1
MS,INDETERMINADA,HOSPITAL,"< 9",F,1
MS,INDETERMINADA,HOSPITAL,"< 9",M,2
MS,INDETERMINADA,OUTRO,"< 9",M,1
MS,INDETERMINADA,VIA_PUBLICA,"< 9",M,1
MS,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
MS,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,2
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,33
MS,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,45
MS,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",F,2
MS,INSUFICIENCIA_RESPIRATORIA,OUTRO,"< 9",M,1
MS,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",F,1
MS,INSUFICIENCIA_RESPIRATORIA,VIA_PUBLICA,"< 9",M,1
